"","NagContributions","NagPercents"
"CumErr",0.0377006589628472,0.679763968782067
"I(pos^2)",0.00576390223894833,0.103926381379183
"pos",0.00749875939929939,0.135206826364306
"stimlen",0.00304406340211835,0.0548861658223902
"log_freq",0.00145401244354964,0.0262166576520541
