"","Df","Deviance","AIC"
"CumErr",1,1160.08044590295,1218.50805970057
"log_freq",1,768.630377359734,827.057991157354
"I(pos^2)",1,752.490763089485,810.918376887105
"<none>",NA,747.909188277608,808.336802075228
"stimlen",1,748.521201393033,806.948815190653
"pos",1,748.415274005032,806.842887802652
