"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,29,29,29,NA,NA,NA,NA,NA,NA
"2",5,65,65,65,65,NA,NA,NA,NA,NA
"3",6,44,44,44,44,44,NA,NA,NA,NA
"4",7,54,54,54,54,54,54,NA,NA,NA
"5",8,42,42,42,42,42,42,42,NA,NA
"6",9,16,16,16,16,16,16,16,16,NA
"7",10,9,9,9,9,9,9,9,9,9
