"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+log_freq+pos","diff_CumErr+log_freq","diff_CumErr+log_freq+pos+I(pos^2)"
"1","preserved ~ CumErr",0.965627837138514,1219.5928443336,0,-0.00389845836597968,-0.00767867788069843,-0.00805675597217437
"2","preserved ~ CumErr+log_freq+pos",0.969526295504494,1180.94642312844,0.00389845836597968,0,-0.00378021951471874,-0.00415829760619468
"3","preserved ~ CumErr+log_freq",0.973306515019213,1198.6868910881,0.00767867788069843,0.00378021951471874,0,-0.000378078091475942
"4","preserved ~ CumErr+log_freq+pos+I(pos^2)",0.973684593110689,1177.93512120148,0.00805675597217437,0.00415829760619468,0.000378078091475942,0
