"","CumErr","I(pos^2)","pos","stimlen","log_freq"
"McFadden",0.361701238727557,0.0117731187141145,0.0125891974496039,0.00767604332602874,0.0452136878081589
"SquaredCorrelation",0.290489928586873,0.0102369350218815,0.0114494091623113,0.00723754104962398,0.0410065828895423
"Nagelkerke",0.454773761334514,0.0160263368409546,0.0179245142684697,0.0113306639647099,0.0641974681562003
"Estrella",0.366389809825449,0.0119397313039569,0.0127827991687008,0.00780052118640534,0.0459124100575245
