"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","CumErr","I(pos^2)","pos","stimlen"
"preserved ~ CumErr",757.786869921738,0,1,1,0.438964527556614,2.32047461978554,NA,-1.9216112393731,NA,NA,NA
"preserved ~ pos",1113.35072920285,355.563859281111,6.17005414237471e-78,6.17005414237471e-78,0.0513790446659549,2.2712170055646,NA,NA,NA,-0.225367427107443,NA
"preserved ~ (I(pos^2) + pos)",1114.02630649672,356.23943657498,4.40138368805491e-78,4.40138368805491e-78,0.052720349952053,2.49697858775151,NA,NA,0.0166812246246442,-0.365706972622831,NA
"preserved ~ CumPres",1114.12853081857,356.341660896835,4.18207194821315e-78,4.18207194821315e-78,0.0466374286649187,1.00170862188355,0.333249258886606,NA,NA,NA,NA
"preserved ~ stimlen",1122.1978672279,364.410997306157,7.39873312659451e-80,7.39873312659451e-80,0.0296693861559665,2.95089870824363,NA,NA,NA,NA,-0.214299842546584
"preserved ~ 1",1147.41236532686,389.625495405119,2.47684408129262e-85,2.47684408129262e-85,-3.68604581288194e-16,1.45357183721326,NA,NA,NA,NA,NA
