Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),stimlen,I(pos^2),pos,CumPres
preserved ~ stimlen + I(pos^2) + pos,4801.834426,0,1,0.999904507,0.047142164,1.959958298,-0.211629441,0.031906549,-0.296217643,NA
preserved ~ stimlen + CumPres,4817.172734,0,1,0.830222428,0.040865717,1.364280705,-0.211220911,NA,NA,0.064865354
preserved ~ stimlen + pos,4819.78218,0,1,0.570154528,0.03991846,1.404384468,-0.192950261,NA,-0.027532769,NA
preserved ~ stimlen,4820.347143,18.51271754,9.55E-05,9.55E-05,0.038986676,1.401855783,-0.206223994,NA,NA,NA
preserved ~ stimlen,4820.347143,3.174408946,0.204496489,0.169777572,0.038986676,1.401855783,-0.206223994,NA,NA,NA
preserved ~ stimlen,4820.347143,0.564963296,0.753910478,0.429845472,0.038986676,1.401855783,-0.206223994,NA,NA,NA
preserved ~ I(pos^2) + pos,4891.081831,89.24740501,4.17E-20,4.17E-20,0.01376633,0.401378563,NA,0.019507661,-0.251860227,NA
preserved ~ pos,4896.966555,77.18437538,1.74E-17,9.90E-18,0.010842091,0.137483514,NA,NA,-0.084441862,NA
preserved ~ CumPres,4924.668199,107.495465,4.55E-24,3.77E-24,0.000516946,-0.221418093,NA,NA,NA,0.032864947
