"","model","p_accounted_for","model_deviance","diff_stimlen","diff_stimlen+pos+I(pos^2)","diff_stimlen+pos","diff_stimlen+pos+I(pos^2)+log_freq"
"1","preserved ~ stimlen",0.302008468916164,4816.347143083,0,-0.0174314943480846,-0.0307999401733418,-0.0326327533412725
"2","preserved ~ stimlen+pos+I(pos^2)",0.319439963264249,4793.83442554126,0.0174314943480846,0,-0.0133684458252573,-0.015201258993188
"3","preserved ~ stimlen+pos",0.332808409089506,4813.7821797873,0.0307999401733418,0.0133684458252573,0,-0.00183281316793071
"4","preserved ~ stimlen+pos+I(pos^2)+log_freq",0.334641222257437,4787.00699279801,0.0326327533412725,0.015201258993188,0.00183281316793071,0
