"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos"
"preserved ~ stimlen + pos",4819.7821797873,0,1,0.570154527673595,0.0399184599462415,1.40438446831603,-0.192950261086326,-0.0275327691392022
"preserved ~ stimlen",4820.347143083,0.564963295703819,0.753910477709096,0.429845472326405,0.0389866761828388,1.40185578287309,-0.206223994115706,NA
"preserved ~ pos",4896.96655516957,77.1843753822741,1.73630430150415e-17,9.8996175892173e-18,0.0108420909771895,0.137483513699198,NA,-0.0844418624118295
