"","Df","Deviance","AIC"
"stimlen",1,4859.48457322753,4867.48457322753
"pos",1,4809.08765545754,4817.08765545754
"I(pos^2)",1,4806.59044220925,4814.59044220925
"log_freq",1,4793.83442554126,4801.83442554126
"<none>",NA,4787.00699279801,4797.00699279801
