Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),stimlen,I(pos^2),pos,log_freq
preserved ~ stimlen + I(pos^2) + pos + log_freq,4797.006993,0,1,0.917867283,0.049605339,1.833534188,-0.195734655,0.031639135,-0.294274159,0.048799252
preserved ~ stimlen + I(pos^2) + pos,4801.834426,4.827432743,0.089482127,0.082132717,0.047142164,1.959958298,-0.211629441,0.031906549,-0.296217643,NA
preserved ~ 1,4924.049497,127.042504,2.59E-28,2.38E-28,2.97E-16,-0.183040132,NA,NA,NA,NA
