"","stimlen","I(pos^2)","pos","log_freq"
"McFadden",0.0169676399171058,0.00291285538698211,0.00403387081872585,0.00352186833184713
"SquaredCorrelation",0.0229090037257705,0.00393837984765957,0.00546150335234538,0.00479124542032634
"Nagelkerke",0.0229090037257705,0.00393837984765957,0.00546150335234538,0.00479124542032634
"Estrella",0.0232489837261346,0.00399263551791215,0.00553133229864985,0.00483575682249884
