"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","CumPres"
"preserved ~ stimlen + CumPres",4817.17273413686,0,1,0.830222428421019,0.0408657166330851,1.36428070520036,-0.211220911398662,0.0648653536857217
"preserved ~ stimlen",4820.347143083,3.17440894614083,0.204496488852846,0.169777571578981,0.0389866761828388,1.40185578287309,-0.206223994115706,NA
"preserved ~ CumPres",4924.66819917818,107.495465041317,4.54628179603511e-24,3.77442511299054e-24,0.000516945553453069,-0.221418093183412,NA,0.032864946909784
