"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","I(pos^2)","pos"
"preserved ~ stimlen + I(pos^2) + pos",4801.83442554126,0,1,0.999904506680781,0.0471421643453065,1.95995829809874,-0.21162944110472,0.0319065491394335,-0.296217643467304
"preserved ~ stimlen",4820.347143083,18.5127175417392,9.55024390637082e-05,9.54933192188086e-05,0.0389866761828388,1.40185578287309,-0.206223994115706,NA,NA
"preserved ~ I(pos^2) + pos",4891.08183054993,89.2474050086639,4.17034745778332e-20,4.16994921746228e-20,0.0137663296356934,0.401378562557287,NA,0.0195076608598967,-0.251860227375994
