"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,62,62,62,NA,NA,NA,NA,NA,NA
"2",5,93,93,93,93,NA,NA,NA,NA,NA
"3",6,116,114,113,106,107,NA,NA,NA,NA
"4",7,108,106,105,107,105,106,NA,NA,NA
"5",8,147,146,144,144,145,142,145,NA,NA
"6",9,85,83,83,82,83,85,83,84,NA
"7",10,83,81,82,81,80,81,82,80,80
