"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+pos","diff_CumErr+pos+I(pos^2)","diff_CumErr+pos+I(pos^2)+stimlen"
"1","preserved ~ CumErr",0.944433076825757,1899.20926545423,0,-0.00470432118516528,-0.0152296853821478,-0.0167848886302016
"2","preserved ~ CumErr+pos",0.949137398010922,1884.31499132725,0.00470432118516528,0,-0.0105253641969825,-0.0120805674450363
"3","preserved ~ CumErr+pos+I(pos^2)",0.959662762207904,1855.27128036164,0.0152296853821478,0.0105253641969825,0,-0.0015552032480538
"4","preserved ~ CumErr+pos+I(pos^2)+stimlen",0.961217965455958,1851.71692050269,0.0167848886302016,0.0120805674450363,0.0015552032480538,0
