"","Df","Deviance","AIC"
"CumErr",1,2534.3810374472,2542.3810374472
"pos",1,1890.97516803078,1898.97516803078
"I(pos^2)",1,1883.41593994682,1891.41593994682
"stimlen",1,1855.27128036164,1863.27128036164
"<none>",NA,1851.71692050269,1861.71692050269
