"","Df","Deviance","AIC"
"CumErr",1,2665.58336965073,2778.33558280962
"CumPres",1,2654.91488441141,2767.6670975703
"log_freq",1,2648.85206293806,2761.60427609695
"<none>",NA,2639.21072109174,2753.96293425063
"stimlen",1,2641.16879007584,2753.92100323473
