"","model","p_accounted_for","model_deviance","diff_CumErr","diff_CumErr+CumPres","diff_CumErr+CumPres+log_freq","diff_CumErr+CumPres+log_freq+stimlen"
"1","preserved ~ CumErr",0.358078191535088,2666.06012112917,0,-0.175557987711172,-0.189161523268361,-0.200059073092121
"2","preserved ~ CumErr+CumPres",0.53363617924626,2653.93470407984,0.175557987711172,0,-0.013603535557189,-0.0245010853809491
"3","preserved ~ CumErr+CumPres+log_freq",0.547239714803449,2641.16879007584,0.189161523268361,0.013603535557189,0,-0.0108975498237601
"4","preserved ~ CumErr+CumPres+log_freq+stimlen",0.558137264627209,2639.21072109174,0.200059073092121,0.0245010853809491,0.0108975498237601,0
