"","Df","Deviance","AIC"
"CumErr",1,3476.31546944685,3482.31546944685
"CumPres",1,3318.59937318283,3324.59937318283
"log_freq",1,3286.86754260614,3292.86754260614
"<none>",NA,3282.92905171565,3290.92905171565
