"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","pos","stimlen:pos","I(pos^2)","stimlen:I(pos^2)"
"preserved ~ stimlen + pos",3518.45385929435,0,1,0.275186994612747,0.00447318685692382,2.19053718854915,-0.0421842022156518,-0.044524418220407,NA,NA,NA
"preserved ~ pos",3518.65318500288,0.199325708536435,0.905142531540375,0.24908345295077,0.00354281299903536,1.91798819558523,NA,-0.0579044386092972,NA,NA,NA
"preserved ~ I(pos^2) + pos",3520.07626269867,1.62240340432027,0.444323800402298,0.122272131267622,0.00378691521761082,1.82175073560155,NA,0.000760891293475246,NA,-0.00666783598498261,NA
"preserved ~ stimlen + I(pos^2) + pos",3520.19643609985,1.74257680550727,0.418412118494603,0.115141573398082,0.00458205096125028,2.10869309408074,-0.0396278126212977,-0.005541000087405,NA,-0.0045207729255559,NA
"preserved ~ stimlen * pos",3520.31804065384,1.86418135949634,0.393729686604809,0.108349289146596,0.00453062533015041,2.32687832888753,-0.0587370332953997,-0.0877759586819734,0.00508110449974918,NA,NA
"preserved ~ stimlen",3520.65999890694,2.2061396125896,0.331850800786676,0.091321024528319,0.00269343856665691,2.1936618981178,-0.0651991836075572,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3523.00245380904,4.54859451469156,0.102869173596497,0.0283082587203171,0.00508689539618009,2.79764431417163,-0.131163151897328,-0.362846119576543,0.0470458310601205,0.0282694244936636,-0.00432869282474739
"preserved ~ 1",3525.01724832629,6.5633890319391,0.0375645491172033,0.0103372753755461,1.91829054139508e-16,1.69146844854879,NA,NA,NA,NA,NA
