"","stimlen","1","2","3","4","5","6","7","8","9"
"1",4,54,54,54,NA,NA,NA,NA,NA,NA
"2",5,92,92,91,91,NA,NA,NA,NA,NA
"3",6,115,111,113,114,114,NA,NA,NA,NA
"4",7,104,102,104,102,104,104,NA,NA,NA
"5",8,145,143,143,143,143,143,143,NA,NA
"6",9,87,85,86,85,82,87,88,86,NA
"7",10,75,74,75,72,75,75,76,73,76
