"Description","ParameterValue"
"min preserved",0.728942028985507
"max preserved",0.94163768115942
"mean change in probability for each additional length: ",-0.00532953249858511
"mean change in probability for each additional position (excluding  U-shape): ",-0.00616501409880794
"U-shape",0
