"","Df","Deviance","AIC"
"CumPres",1,2298.44274170571,2304.44274170571
"pos",1,2275.53781013454,2281.53781013454
"log_freq",1,2269.92709678271,2275.92709678271
"<none>",NA,2251.61603955908,2259.61603955908
