"","model","p_accounted_for","model_deviance","diff_CumPres+pos+log_freq","diff_CumPres+pos","diff_CumPres"
"1","preserved ~ CumPres+pos+log_freq",0.613736971458247,2251.61603955908,0,-0.0139361783447579,-0.0203256688546926
"2","preserved ~ CumPres+pos",0.627673149803004,2269.92709678271,0.0139361783447579,0,-0.00638949050993465
"3","preserved ~ CumPres",0.634062640312939,2300.48874882955,0.0203256688546926,0.00638949050993465,0
