"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","pos"
"preserved ~ CumPres + pos",2275.92709678271,0,1,0.999999372058473,0.0426027971072507,2.61886628109485,0.681957065818768,-0.458300045061355
"preserved ~ CumPres",2304.48874882955,28.5616520468411,6.27936981514304e-07,6.27936587206597e-07,0.0260393376307232,2.03936055742198,0.209423914135081,NA
"preserved ~ pos",2327.99439815021,52.0673013675014,4.94002519889571e-12,4.94002209684874e-12,0.0132213844862894,2.01602154425013,NA,0.136998932394555
