"Description","ParameterValue"
"min preserved",0.808695652173913
"max preserved",1.01739130434783
"mean change in probability for each additional length: ",-0.00436687316116399
"mean change in probability for each additional position (excluding  U-shape): ",0.0137975712609952
"U-shape",0
