"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","pos","log_freq","stimlen"
"preserved ~ CumPres + pos + log_freq",2259.61603955908,0,1,0.657328281182563,0.0524717548448247,2.56515658093936,0.641338266462813,-0.410257967751673,0.129196427793427,NA
"preserved ~ CumPres + pos + stimlen + log_freq",2260.92279752557,1.30675796648711,0.520284769711157,0.3419978933997,0.0528445781523323,2.78128255858473,0.645578908531898,-0.406613242873846,0.122021768404641,-0.0313203231602585
"preserved ~ CumPres + pos + stimlen",2274.03929823798,14.4232586789039,0.000737953798153202,0.000485077901732188,0.0447016126309341,3.09862698956738,0.686211353077569,-0.443283135516994,NA,-0.0708043490026389
"preserved ~ CumPres + pos",2275.92709678271,16.3110572236278,0.000287143458464436,0.000188747516005244,0.0426027971072507,2.61886628109485,0.681957065818768,-0.458300045061355,NA,NA
"preserved ~ 1",2350.10880632354,90.4927667644633,2.23740895010689e-20,1.47071217947624e-20,0,2.50731236676177,NA,NA,NA,NA
