"","CumPres","pos","log_freq"
"McFadden",0.0209521088273608,0.0110695640392223,0.00907214974700484
"SquaredCorrelation",0.0110764619344671,0.00585189586254261,0.00479728433577555
"Nagelkerke",0.0110764619344671,0.00585189586254261,0.00479728433577555
"Estrella",0.0113088080189449,0.00597501889036326,0.00489570117087555
